wiki_db,project,country,country_code,activity_level,count_eps,sum_eps,count_release_thresh,editors,edits,time
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,5183,6973,2023-11
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,15,28,2023-11
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,17,2023-11
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,16,2023-11
cawiki,ca.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,7,2023-11
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,112,2152,2023-12
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,695,939,2023-12
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,136,184,2023-12
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,1,2023-12
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,37,53,2023-12
thwiki,th.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,12,2023-12
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,87,1442,2023-12
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,26,2023-12
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4020,5407,2023-12
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,322,429,2023-12
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,17,22,2023-12
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,53,916,2023-12
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,8,9,2023-12
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,8,174,2023-12
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,61,6345,2023-12
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,22,33,2023-12
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,12,1297,2023-12
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,851,13607,2023-12
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,8,5,2023-12
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,42,53,2023-12
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,16,2023-12
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,13,1204,2023-12
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,128,144.0,2024-01
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,27.0,2024-01
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,131,2112.0,2024-01
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,11,342.0,2024-01
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,101,2293.0,2024-01
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,743,992.0,2024-01
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,28,40.0,2024-01
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,3.0,2024-01
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,15,1560.0,2024-01
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,16,3.0,2024-01
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,16,2047.0,2024-01
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,17.0,2024-01
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,62,6138.0,2024-01
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,16,25.0,2024-01
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,71,1644.0,2024-01
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4122,5581.0,2024-01
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,24,37.0,2024-01
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,22,25.0,2024-01
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,54.0,2024-01
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,883,14799.0,2024-01
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,307,392.0,2024-01
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,34.0,2024-02
mediawikiwiki,en.mediawiki,Chile,CL,1 to 4,1.1,0.9,8,9,19.0,2024-02
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,141,2087.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,1225.0,2024-02
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,667,866.0,2024-02
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,3857,5166.0,2024-02
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,9,822.0,2024-02
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,134,2514.0,2024-02
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,7.0,2024-02
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,8,144.0,2024-02
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,14.0,2024-02
idwiki,id.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,8.0,2024-02
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,40.0,2024-02
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,196,255.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,93,2083.0,2024-02
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,16,14.0,2024-02
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,54,5340.0,2024-02
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,787,14488.0,2024-02
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,15,15.0,2024-02
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,11,216.0,2024-02
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,19,15.0,2024-02
huwiki,hu.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,23.0,2024-02
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,35.0,2024-02
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,44,70.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,327,451.0,2024-02
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1112.0,2024-02
mediawikiwiki,en.mediawiki,Chile,CL,1 to 4,1.1,0.9,8,8,11.0,2024-03
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,131,2168.0,2024-03
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,12.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,9,1037.0,2024-03
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4374,5694.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,90,1726.0,2024-03
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,694,947.0,2024-03
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,825.0,2024-03
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,106,1428.0,2024-03
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,181,239.0,2024-03
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,23.0,2024-03
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,721,13527.0,2024-03
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,21,40.0,2024-03
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,10,438.0,2024-03
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,36.0,2024-03
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,20,24.0,2024-03
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,15,23.0,2024-03
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,17.0,2024-03
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,52,64.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,364,480.0,2024-03
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,53,5261.0,2024-03
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1381.0,2024-03
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,12.0,2024-04
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,135,2082.0,2024-04
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,761,988.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,963.0,2024-04
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,5.0,2024-04
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,10,855.0,2024-04
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4962,6607.0,2024-04
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,191,291.0,2024-04
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,107,1880.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,86,1748.0,2024-04
hrwiki,hr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0.0,2024-04
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,23,31.0,2024-04
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,17.0,2024-04
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,46,39.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,449,592.0,2024-04
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,680,11168.0,2024-04
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,61,6392.0,2024-04
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,24.0,2024-04
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,31,44.0,2024-04
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,25,24.0,2024-04
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,16,1614.0,2024-04
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,37.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,1013.0,2024-05
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,125,2237.0,2024-05
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,18.0,2024-05
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,754,1008.0,2024-05
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,15.0,2024-05
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,118,2378.0,2024-05
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4766,6390.0,2024-05
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,185,246.0,2024-05
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,29,24.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,480,612.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,82,1861.0,2024-05
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,56,5201.0,2024-05
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,677,11009.0,2024-05
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,23.0,2024-05
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,25,28.0,2024-05
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,10,12.0,2024-05
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1261.0,2024-05
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,43.0,2024-05
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,27.0,2024-06
jawikibooks,ja.wikibooks,Chile,CL,100 or more,1.1,0.9,8,10,0.0,2024-06
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,9.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,1006.0,2024-06
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4476,5851.0,2024-06
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,117,2026.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,371,497.0,2024-06
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,793,1069.0,2024-06
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,116,2614.0,2024-06
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,165,223.0,2024-06
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,9,197.0,2024-06
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,21.0,2024-06
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,13,6.0,2024-06
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,46.0,2024-06
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,23.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,93,1919.0,2024-06
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,15,23.0,2024-06
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,711,11721.0,2024-06
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,42.0,2024-06
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,57,5558.0,2024-06
afwiki,af.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,13,2023-07
afwiktionary,af.wiktionary,Chile,CL,5 to 99,1.1,0.9,8,8,0,2023-07
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,182,248,2023-07
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,91,2126,2023-07
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,14,2023-07
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,718,923,2023-07
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1452,2023-07
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,154,2809,2023-07
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4514,5960,2023-07
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,63,5982,2023-07
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,808,12873,2023-07
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,60,69,2023-07
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,30,31,2023-07
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,23,18,2023-07
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,14,2023-07
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,16,14,2023-07
mrwikisource,mr.wikisource,Chile,CL,5 to 99,1.1,0.9,8,9,0,2023-07
nlwiki,nl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,19,2023-07
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,10,2023-07
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,10,2023-07
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,355,465,2023-07
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,9,983,2023-07
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,83,1536,2023-07
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,138,178,2023-08
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,43,59,2023-08
thwiki,th.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0,2023-08
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,99,2090,2023-08
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,18,2023-08
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,21,20,2023-08
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,5217,6889,2023-08
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1145,2023-08
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,11,10,2023-08
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,14,2023-08
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,28,2023-08
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,777,12153,2023-08
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,449,555,2023-08
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,24,29,2023-08
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,178,2489,2023-08
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,9,12,2023-08
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,28,38,2023-08
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,725,961,2023-08
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,9,296,2023-08
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,101,2036,2023-08
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,76,95,2023-08
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,76,7560,2023-08
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,11,527,2023-08
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,127,1940,2023-09
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,41,2023-09
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,130,180,2023-09
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,943,2023-09
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,379,499,2023-09
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,12,1204,2023-09
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4894,6522,2023-09
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,86,1993,2023-09
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,17,2023-09
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,18,2023-09
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,10,163,2023-09
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,74,1648,2023-09
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,728,11835,2023-09
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,28,51,2023-09
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,726,988,2023-09
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,611,2023-09
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,15,19,2023-09
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,11,30,2023-09
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,16,2023-09
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,19,2023-09
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,59,73,2023-09
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,62,6124,2023-09
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,13,2023-10
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,17,18,2023-10
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,118,161,2023-10
nlwiki,nl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,18,2023-10
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,26,37,2023-10
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,7,2023-10
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,12,1477,2023-10
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,767,1025,2023-10
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,146,2288,2023-10
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,813,13087,2023-10
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,68,74,2023-10
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,446,580,2023-10
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,5544,7482,2023-10
huwiki,hu.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,2,2023-10
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,614,2023-10
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,92,1737,2023-10
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,13,15,2023-10
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,24,2023-10
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,71,7162,2023-10
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,19,37,2023-10
zhwiki,zh.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0,2023-10
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,1161,2023-10
